"zip_code","county_name","state_name","name","addrs1","city","abbrev","zip","web_addr","textcond","sp_textcond","description","over65","under65","na_available","community","issue","attained","na_rating","last_mod"
"53014","CALUMET","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"53014","FOND DU LAC","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"53014","MANITOWOC","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"53049","CALUMET","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"53049","FOND DU LAC","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54923","GREEN LAKE","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54923","WAUSHARA","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54923","WINNEBAGO","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54930","ADAMS","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54930","MARQUETTE","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54930","WAUSHARA","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54943","ADAMS","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54943","WAUSHARA","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54960","GREEN LAKE","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54960","MARQUETTE","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54960","WAUSHARA","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54964","FOND DU LAC","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54964","WINNEBAGO","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54966","ADAMS","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54966","PORTAGE","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54966","WAUSHARA","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54971","FOND DU LAC","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54971","GREEN LAKE","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54971","WINNEBAGO","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54979","FOND DU LAC","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54979","WINNEBAGO","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54982","MARQUETTE","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"54982","WAUSHARA","Wisconsin","Dean Health Plan","1277 Deming Way","Madison","WI","53717","www.deancare.com","Individual Plan","Plan individual","SELECT Basic","True","True","False","False","False","True","False","Jun 07  2013"
"12007","ALBANY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12008","SCHENECTADY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12009","ALBANY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12010","FULTON","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12010","MONTGOMERY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12010","SCHENECTADY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12015","GREENE","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12016","MONTGOMERY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12017","COLUMBIA","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12018","RENSSELAER","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12019","SARATOGA","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12019","SCHENECTADY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12020","SARATOGA","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12022","RENSSELAER","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12023","ALBANY","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12024","RENSSELAER","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
"12025","FULTON","New York","CDPHP Universal Benefits","500 Patroon Creek Blvd.","Albany","NY","12206","www.cdphp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","True","False","False","False","Mar 08  2013"
